customer_id,customer_name,email,country,signup_date
C001,John Smith,john.smith@email.com,USA,2023-01-15
C002,Emma Johnson,emma.johnson@email.com,UK,2023-02-20
C003,Michael Brown,michael.brown@email.com,Canada,2023-03-10
C004,Sarah Davis,sarah.davis@email.com,USA,2023-04-05
C005,James Wilson,james.wilson@email.com,Australia,2023-05-12
C006,Olivia Taylor,olivia.taylor@email.com,Germany,2023-06-18
C007,William Anderson,william.anderson@email.com,France,2023-07-22
C008,Sophia Martinez,sophia.martinez@email.com,USA,2023-08-30
C009,Benjamin Thomas,benjamin.thomas@email.com,UK,2023-09-14
C010,Charlotte Garcia,charlotte.garcia@email.com,Canada,2023-10-25
